title,url,summary,published_at,result_page,collected_at,search_term,source
"Vazamento de dados de mais de 600 pessoas com HIV na BA viola Constituição, LGPD e outras normas",https://g1.globo.com/ba/feira-de-santana-regiao/noticia/2025/09/23/vazamento-de-dados-de-pessoas-com-hiv-na-ba-viola-leis-e-normas.ghtml,"Vazamento de dados de mais de 600 pessoas com HIV na BA viola Constituição, LGPD e outras O vazamento dos nomes e dados de mais de 600 pessoas que vivem com o HIV pela Prefeitura de Feira de Santana viola ao menos quatro direitos fundamentais da Constituição Brasileira, a Lei Geral de Proteção de...",2025-09-23T13:15:17.806Z,3,2026-09-16T13:15:39.812074+00:00,lgpd,G1
Entidades acionam MPF contra óculos inteligentes da Meta por riscos à privacidade e aos consumidores,https://g1.globo.com/tecnologia/noticia/2026/08/21/entidades-acionam-mpf-contra-oculos-inteligentes-da-meta-por-riscos-a-privacidade-e-aos-consumidores.ghtml,"Óculos inteligentes viram febre em pegadinhas nas redes com exposição de terceiros O Instituto de Defesa de Consumidores (Idec) e a organização Coding Rights pediram nesta quinta-feira (20) que a Agência Nacional de Proteção de Dados (ANPD), a Secretaria Nacional do Consumidor (Senacon) e o...",2026-08-21T13:50:19.593Z,3,2026-09-16T13:15:39.812074+00:00,lgpd,G1
Pastor-belga que atacou veterinária no Senado é retirado das atividades e passará por exames,https://g1.globo.com/df/distrito-federal/noticia/2026/08/19/pastor-belga-que-atacou-veterinaria-no-senado-e-retirado-das-atividades-e-passara-por-exames.ghtml,"O cão da raça pastor belga malinois que atacou uma veterinária do Senado Federal, em Brasília, nesta terça-feira (18), foi retirado das atividades operacionais e passará por exames. Segundo o Senado, o animal está com a vacinação em dia e permanecerá em observação. A instituição também informou que...",2026-08-19T03:00:42.953Z,3,2026-09-16T13:15:39.812074+00:00,lgpd,G1
"Brigou no avião? Você poderá ficar até um ano proibido de voar; entenda, em cinco pontos, a nova regra da Anac",https://g1.globo.com/turismo-e-viagem/noticia/2026/08/20/brigou-no-aviao-voce-podera-ficar-ate-um-ano-proibido-de-voar-entenda-em-cinco-pontos-a-nova-regra-da-anac.ghtml,"Brigou no avião? Você poderá ficar até um ano proibido de voar; entenda, em cinco pontos, a nova regra da Anac BBC Enquanto confusões dentro de aviões se multiplicam em vídeos compartilhados nas redes sociais, a Agência Nacional de Aviação Civil (Anac) se prepara para implementar um sistema de...",2026-08-20T10:38:32.283Z,3,2026-09-16T13:15:39.812074+00:00,lgpd,G1
Motorista de caminhonete persegue e esfaqueia motoboy em pizzaria no PR após briga de trânsito e é encontrado com ajuda de IA,https://g1.globo.com/pr/campos-gerais-sul/noticia/2026/08/21/motorista-de-caminhonete-persegue-e-esfaqueia-motoboy-em-pizzaria-no-pr-apos-briga-de-transito-e-e-encontrado-com-ajuda-de-ia.ghtml,Motorista de caminhonete persegue e esfaqueia motoboy em pizzaria após briga de trânsito O motorista de uma caminhonete perseguiu e esfaqueou um motoboy na frente de uma pizzaria após uma briga de trânsito e foi encontrado e preso com ajuda de inteligência artificial (IA). O crime aconteceu na...,2026-08-21T14:51:44.315Z,3,2026-09-16T13:15:39.812074+00:00,lgpd,G1
"Plano de governo: Du Pereira promete painel público, escritório estadual de projetos e diagnóstico das rodovias",https://g1.globo.com/to/tocantins/eleicoes/2026/noticia/2026/09/03/plano-de-governo-du-pereira-promete-painel-publico-escritorio-estadual-de-projetos-e-diagnostico-das-rodovias.ghtml,"Empresário Du Pereira oficializa candidatura ao governo Reprodução/Instagram Du Pereira A criação de um painel público de obras, a estruturação de um escritório estadual de projetos para auxiliar prefeituras e a realização de um diagnóstico completo das rodovias e pontes do Tocantins estão entre as...",2026-09-03T09:01:20.134Z,3,2026-09-16T13:15:39.812074+00:00,lgpd,G1
"Latam diz que falha de segurança expôs nome, endereço e parte do cartão de crédito de clientes",https://g1.globo.com/tecnologia/noticia/2026/08/19/latam-incidente-seguranca-dados.ghtml,Latam não revelou quantos clientes foram afetados por vazamento de dados Gabriel Magacho/Divulgação Aeroporto da Zona da Mata A companhia aérea Latam informou nesta quarta-feira (19) que uma falha em seu sistema permitiu que dados de clientes fossem consultados por pessoas não autorizadas. A...,2026-08-20T13:25:38.510Z,3,2026-09-16T13:15:39.812074+00:00,lgpd,G1
LGPD em TI: Como empresas podem garantir conformidade com suas operações,https://g1.globo.com/pb/paraiba/especial-publicitario/hostdime/noticia/2025/05/21/lgpd-em-ti-como-empresas-podem-garantir-conformidade-com-suas-operacoes.ghtml,"A HostDime Brasil foi a primeira empresa do Brasil a conquistar a ISO 27701, da LGPD. Freepik A Lei Geral de Proteção de Dados (LGPD) trouxe um novo cenário para empresas que lidam com dados pessoais no Brasil. Desde sua implementação, tornou-se essencial que as empresas adotem práticas rigorosas...",2025-05-21T20:56:11.645Z,3,2026-09-16T13:15:39.812074+00:00,lgpd,G1
Backup local ou em nuvem: o que considerar na escolha da estratégia,https://g1.globo.com/pr/parana/especial-publicitario/gate7-it-solutions-gestao-de-ti-inteligente/noticia/2026/08/25/backup-local-ou-em-nuvem-o-que-considerar-na-escolha-da-estrategia.ghtml,"Entre as decisões técnicas que gestores de tecnologia precisam tomar ao estruturar a proteção de dados de uma empresa, uma das mais recorrentes é a escolha entre manter backups em infraestrutura local, hospedar as cópias em ambientes de nuvem ou combinar os dois modelos. Cada abordagem apresenta...",2026-08-25T12:15:28.046Z,3,2026-09-16T13:15:39.812074+00:00,lgpd,G1
Saiba como evitar ligações abusivas: Procon de Taubaté orienta consumidores,https://g1.globo.com/sp/vale-do-paraiba-regiao/noticia/2026/08/18/saiba-como-evitar-ligacoes-abusivas-procon-de-taubate-orienta-consumidores.ghtml,"Ligações telefônicas Tomasz Piskorski/Freeimages.com O Procon de Taubaté fez uma orientação aos consumidores que recebem ligações insistentes, cobranças que não reconhecem ou chamadas destinadas a localizar outras pessoas. Segundo o órgão, uma ligação isolada não caracteriza necessariamente uma...",2026-08-18T16:23:57.778Z,4,2026-09-16T13:15:40.961713+00:00,lgpd,G1
